trial=0
,min,max,avg
gen=0,46.000000,67.000000,52.940000
gen=1,47.000000,67.000000,55.380000
gen=2,51.000000,67.000000,57.800000
gen=3,54.000000,68.000000,59.820000
gen=4,57.000000,69.000000,62.160000
gen=5,58.000000,70.000000,64.260000
gen=6,60.000000,70.000000,66.060000
gen=7,64.000000,70.000000,67.280000
gen=8,65.000000,70.000000,68.420000
gen=9,68.000000,72.000000,69.500000
gen=10,68.000000,73.000000,69.980000
gen=11,69.000000,73.000000,70.660000
gen=12,70.000000,74.000000,71.440000
gen=13,70.000000,74.000000,72.240000
gen=14,71.000000,75.000000,72.720000
gen=15,71.000000,75.000000,72.980000
gen=16,71.000000,75.000000,73.600000
gen=17,72.000000,77.000000,74.120000
gen=18,73.000000,77.000000,74.800000
gen=19,74.000000,78.000000,75.360000
gen=20,74.000000,78.000000,75.880000
gen=21,75.000000,79.000000,76.680000
gen=22,76.000000,79.000000,77.040000
gen=23,77.000000,80.000000,77.580000
gen=24,77.000000,80.000000,77.880000
gen=25,77.000000,80.000000,78.200000
gen=26,77.000000,80.000000,78.320000
gen=27,77.000000,80.000000,78.500000
gen=28,78.000000,81.000000,79.020000
gen=29,78.000000,81.000000,79.400000
gen=30,78.000000,81.000000,79.660000
gen=31,79.000000,82.000000,80.060000
gen=32,80.000000,82.000000,80.360000
gen=33,80.000000,82.000000,80.620000
gen=34,80.000000,82.000000,80.960000
gen=35,80.000000,83.000000,81.180000
gen=36,80.000000,83.000000,81.440000
gen=37,81.000000,83.000000,81.880000
gen=38,81.000000,83.000000,82.240000
gen=39,82.000000,84.000000,82.460000
gen=40,82.000000,84.000000,82.680000
gen=41,82.000000,84.000000,82.940000
gen=42,82.000000,84.000000,83.040000
gen=43,82.000000,84.000000,83.260000
gen=44,82.000000,84.000000,83.340000
gen=45,82.000000,84.000000,83.540000
gen=46,83.000000,85.000000,83.800000
gen=47,83.000000,85.000000,83.960000
gen=48,84.000000,85.000000,84.080000
gen=49,84.000000,85.000000,84.100000
gen=50,84.000000,85.000000,84.220000
gen=51,84.000000,85.000000,84.400000
gen=52,84.000000,85.000000,84.440000
gen=53,84.000000,85.000000,84.600000
gen=54,84.000000,85.000000,84.840000
gen=55,84.000000,85.000000,84.960000
gen=56,85.000000,85.000000,85.000000
gen=57,85.000000,85.000000,85.000000
gen=58,85.000000,85.000000,85.000000
gen=59,85.000000,85.000000,85.000000
gen=60,85.000000,85.000000,85.000000
gen=61,85.000000,85.000000,85.000000
gen=62,85.000000,85.000000,85.000000
